lact	lp	group	speed	pexp	phalf	pintmean	pintmedian
 100 1 3 0.06813262        NA 48.03486 77.09713 50 0.9999971
 100 1 4 0.06939639 110.29949 48.92327 78.22581 50 0.9999970
 100 1 5 0.06726756  89.69337 45.05611 74.24412 50 0.9999988
 100 1 6 0.06876583 107.74280 48.74355 76.73056 50 0.9999979
 200 1 1 0.1089905 138.7044 87.70047 136.1592 100 0.9999892
 200 1 2 0.1081020 143.0083 87.41321 134.1442 100 0.9999899
 200 1 3 0.1092814 135.2038 87.15523 133.9422 100 0.9999901
 200 1 4 0.1087280 143.8659 86.86986 131.9031 100 0.9999892
 200 1 5 0.1080082 135.1236 83.92086 132.3732 100 0.9999892
 200 1 6 0.1108201 161.9486 93.20023 136.7941 100 0.9999869
 600 1 1 0.2977723  738.3609 517.1874 1015.7080 650 0.9958865
 600 1 2 0.3075496 1027.7540 599.5062 1200.2564 750 0.9959778
 600 1 3 0.2903936  832.5620 512.8032  870.8812 450 0.9971964
 600 1 4 0.2980862 1037.1291 591.6377 1023.8938 550 0.9983185
 600 1 5 0.2947245  853.1015 540.3473  972.4576 525 0.9973730
 600 1 6 0.2992099  946.9054 624.6642 1040.9910 525 0.9972003
 800 1 1 0.3967595 5361.207 3552.089 6521.053 2525 0.9923811
 800 1 2 0.3867068 4939.537 3488.125 4773.529 2400 0.9890051
 800 1 3 0.3955832 5295.210 3206.892 5506.667 3600 0.9906703
 800 1 4 0.3950903 5952.154 4024.426 8006.452 5400 0.9931121
 800 1 5 0.3965925 5776.796 2977.782 4587.037 2825 0.9889418
 800 1 6 0.3970770 7371.522 4731.504 6047.561 2600 0.9923284
 1000 1 1 0.4491888 13032.617 4554.328 4869.608  450 0.9774561
 1000 1 2 0.4466180  5282.328 2632.437 3341.892  550 0.9771341
 1000 1 3 0.4440992  4807.109 3069.000 3573.913  650 0.9780172
 1000 1 4 0.4462873  5966.769 2269.751 3206.494  250 0.9723626
 1000 1 5 0.4494821        NA 3906.774 5288.298 1000 0.9807102
 1000 1 6 0.4462683  6099.870 2274.285 3435.417  275 0.9736592
 1200 1 1 0.4767835 3422.860 11.93812  844.4828 100 0.8794115
 1200 1 2 0.4835012 2218.358 12.25469  828.1145 150 0.8893043
 1200 1 3 0.4311420 2314.361 12.64207  879.3651 150 0.8624266
 1200 1 4 0.4823172 4197.170 17.58715 1230.5000 150 0.9224335
 1200 1 5 0.4680316 2349.669 12.60356  861.0915 150 0.8751110
 1200 1 6 0.4811187 3989.956 18.58531 1369.1667 150 0.9248377
 1400 1 1 0.4542062 1118.4267  9.423901 496.8037 100 0.7805090
 1400 1 2 0.5103358 3562.0446 10.758612 708.3333 125 0.8476734
 1400 1 3 0.5037986 1138.9288  9.485307 557.5294 150 0.8397450
 1400 1 4 0.4882487  984.4016  9.201220 500.9636 150 0.7893917
 1400 1 5 0.5102368 1413.0846  9.843638 515.1579 100 0.8206928
 1400 1 6 0.5046899  859.3379  9.148159 464.7510 100 0.7858259
 100 2 1 0.06057636       NA 38.21643 68.79756 50 0.9999961
 100 2 2 0.06070891       NA 36.69581 67.52577 50 0.9999973
 100 2 3 0.06102001       NA 37.57110 69.51399 50 0.9999974
 100 2 4 0.06141592 78.87791 39.86481 72.55474 50 0.9999962
 100 2 5 0.06105515 80.62547 38.86804 70.10234 50 0.9999967
 100 2 6 0.06067544       NA 37.57903 68.17507 50 0.9999970
 200 2 1 0.1007899 165.7033  92.46114 117.7049 100 0.9999936
 200 2 2 0.1013693 193.9823 101.39499 119.1368 100 0.9999914
 200 2 3 0.1017345 178.0709 100.68604 121.6003 100 0.9999909
 200 2 4 0.1000206 170.4913  93.79712 116.8417 100 0.9999921
 200 2 5 0.1015232 198.4452 103.64048 122.3608 100 0.9999925
 200 2 6 0.1015901 171.5552  98.99042 120.4864 100 0.9999904
 600 2 1 0.1451397 184.7103 104.69215 174.0191 150 0.9992654
 600 2 2 0.1455219 182.2371 103.53223 175.1856 150 0.9999433
 600 2 3 0.1419891 162.2108  97.83478 170.5451 150 0.9999534
 600 2 4 0.1436435 161.0177 100.00478 172.2866 150 0.9999482
 600 2 5 0.1391462 141.7940  90.90467 165.5831 150 0.9999486
 600 2 6 0.1396300 144.7751  94.63052 167.1488 150 0.9999520
 800 2 1 0.1976436 393.8953 240.7874 296.8000 150 0.9994760
 800 2 2 0.2107103 549.0745 324.6564 328.8428 150 0.9997970
 800 2 3 0.1940117 367.8677 212.5846 286.3426 150 0.9998117
 800 2 4 0.1892224 332.4047 177.4478 274.0211 150 0.9994743
 800 2 5 0.1937384 369.8981 206.8469 286.7647 150 0.9993605
 800 2 6 0.1929745 389.1032 194.5489 283.6420 150 0.9991484
 1000 2 1 0.2840565 770.9811 526.4579 726.3934 250 0.9990203
 1000 2 2 0.2833604 724.1124 480.2664 719.2182 200 0.9980538
 1000 2 3 0.2866978 825.6616 594.4217 750.8475 200 0.9994486
 1000 2 4 0.2847034 970.1242 624.1062 753.7415 200 0.9988665
 1000 2 5 0.2815668 750.7252 501.0066 715.5844 250 0.9989229
 1000 2 6 0.2876184 733.3071 523.9662 805.3957 375 0.9990808
 1200 2 1 0.3510160 2362.638 1430.0387 2423.500 1400 0.9981244
 1200 2 2 0.3530478 3190.893 1700.1912 2547.895  950 0.9985979
 1200 2 3 0.3551916 1983.500 1367.0784 2318.269 1325 0.9982974
 1200 2 4 0.3518657 2390.487 1415.2634 2169.820  950 0.9980900
 1200 2 5 0.3491896 1451.382  993.6668 1992.149 1450 0.9983712
 1200 2 6 0.3531643 1668.110 1186.3827 2079.310 1025 0.9983882
 1400 2 1 0.3948827 5294.718 3186.715 4942.000 3100 0.9966155
 1400 2 2 0.3957695 3884.872 2803.996 6865.278 4325 0.9983727
 1400 2 3 0.3981417 7192.184 4931.003 9196.296 6650 0.9978806
 1400 2 4 0.3967479 8588.163 6244.939 7521.212 2450 0.9976565
 1400 2 5 0.3949411 3755.529 2654.804 5886.905 3725 0.9983708
 1400 2 6 0.3953708 3768.034 2841.675 6341.026 3450 0.9977068
 100 5 1 0.04600741 37.99251 22.30183 56.29921 50 0.9999855
 100 5 2 0.04644102 39.44432 22.47753 57.80000 50 0.9999862
 100 5 3 0.04604530 37.60553 22.04696 55.34188 50 0.9999858
 100 5 4 0.04603792 39.32870 22.44728 55.31915 50 0.9999879
 100 5 5 0.04552327 38.33041 21.71149 55.99078 50 0.9999882
 100 5 6 0.04612439 38.59057 22.25390 56.81818 50 0.9999853
 200 5 1 0.08143501 160.4895 76.32373 95.88979 50 0.9999925
 200 5 2 0.08017012 150.8730 70.25220 92.93286 50 0.9999931
 200 5 3 0.08004993 138.2239 70.05738 93.83993 50 0.9999946
 200 5 4 0.07950798 151.5245 71.89225 93.30036 50 0.9999958
 200 5 5 0.07967216 151.3008 70.30976 92.93381 50 0.9999947
 200 5 6 0.08033966 155.7731 75.76675 94.45971 50 0.9999939
 600 5 1 0.1084141  99.12725 64.26824 111.0905 100 0.9999905
 600 5 2 0.1092471  99.75378 64.84385 109.4733 100 0.9999907
 600 5 3 0.1071176  93.79876 61.25659 106.6787 100 0.9999907
 600 5 4 0.1100260 103.74887 66.22771 110.4074 100 0.9999905
 600 5 5 0.1067402  96.56947 62.03065 105.9291 100 0.9999910
 600 5 6 0.1095434 103.70307 66.02266 108.7803 100 0.9999886
 800 5 1 0.1007233 82.42034 61.01433 110.9388 100 0.9938787
 800 5 2 0.1121284 82.01776 60.87697 110.5935 100 0.9999860
 800 5 3 0.1126918 83.87251 61.91150 114.0351 100 0.9999912
 800 5 4 0.0955677 84.33590 63.12924 113.0356 100 0.9873193
 800 5 5 0.1129396 85.37452 62.40057 112.5094 100 0.9999902
 800 5 6 0.1131851 89.86569 63.34792 114.5062 100 0.9999875
 1000 5 1 0.1174500  85.53176 63.91226 121.5734 100 0.9999847
 1000 5 2 0.1140114  99.99819 68.87958 125.3751 100 0.9902580
 1000 5 3 0.1198058  97.41812 67.55040 122.7047 100 0.9999845
 1000 5 4 0.1175167  83.45145 64.43903 121.7073 100 0.9999844
 1000 5 5 0.1171869  83.54587 63.78125 123.4323 100 0.9999841
 1000 5 6 0.1238597 115.41429 73.80610 128.2645 100 0.9999781
 1200 5 1 0.1280363 106.7350 74.66505 139.6442 100 0.9999752
 1200 5 2 0.1169706 113.7378 76.15063 140.5966 100 0.9851342
 1200 5 3 0.1296878 128.1392 78.59618 141.8658 100 0.9999730
 1200 5 4 0.1237010  89.6523 69.26831 136.4086 100 0.9999783
 1200 5 5 0.1284440 112.6002 76.79475 138.4899 100 0.9999673
 1200 5 6 0.1291673 115.9202 77.45696 140.6192 100 0.9999706
 1400 5 1 0.1374132 136.64201 85.21819 157.2144 150 0.9999664
 1400 5 2 0.1296048  98.51377 74.32756 145.5067 150 0.9999760
 1400 5 3 0.1421259 165.34013 94.32109 164.4572 150 0.9999538
 1400 5 4 0.1446073 171.09275 98.67321 167.1081 150 0.9999518
 1400 5 5 0.1372083 132.38833 85.93534 156.0667 150 0.9999668
