n dBIC13 dBIC12 dBIC23 broken dmuRel mp mact lact
1 -48.1954506743205 -25.4508920332421 -22.7445586410784 0 NA NA 23.333 0
1 -35.9260540017592 -10.4756361166344 -25.4504178851248 0 NA NA 23.333 0
1 -40.9308720631257 -13.4563936075665 -27.4744784555592 0 NA NA 23.333 0
1 -36.7159921008497 -15.980443802533 -20.7355482983166 0 NA NA 23.333 0
1 -40.1469569011547 -16.073437792129 -24.0735191090257 0 NA NA 23.333 0
1 -40.1875738513145 -25.1595149556456 -15.0280588956689 0 NA NA 23.333 0
1 -46.3843479451814 -19.1909353955882 -27.1934125495932 0 NA NA 23.333 0
1 -32.7566314854839 -5.22232033657792 -27.534311148906 0 NA NA 23.333 0
1 -52.7962709797191 -26.8079602432288 -25.9883107364903 0 NA NA 23.333 0
1 -47.7895898453501 -26.5594870067173 -21.2301028386328 0 NA NA 23.333 0
1 -50.6635799630915 -25.6310976165944 -25.0324823464971 0 NA NA 23.333 0
1 -51.3416921355158 -26.3722955139979 -24.9693966215179 0 NA NA 23.333 0
1 -47.0287157379041 -26.371213120892 -20.6575026170121 0 NA NA 23.333 0
1 -39.4778352083581 -13.0334193862 -26.4444158221581 0 NA NA 23.333 0
1 -35.9881980571686 -22.2997324963708 -13.6884655607978 0 NA NA 23.333 0
1 -41.1451998360942 -24.2490773017423 -16.8961225343519 0 NA NA 23.333 0
1 -47.7265250393718 -25.1229595218661 -22.6035655175058 0 NA NA 26.667 0
1 -48.1003528084361 -26.3374428085137 -21.7629099999224 0 NA NA 26.667 0
1 -46.5912592188813 -26.0725713256479 -20.5186878932334 0 NA NA 26.667 0
1 -50.763663277347 -26.1410179425218 -24.6226453348252 0 NA NA 26.667 0
1 -33.3798414151961 -8.22248360813455 -25.1573578070615 0 NA NA 26.667 0
1 -45.5689893727224 -26.4624645701294 -19.106524802593 0 NA NA 26.667 0
1 -44.4574897266687 -19.0282696888864 -25.4292200377822 0 NA NA 26.667 0
1 -39.9146705872122 -15.3617648082179 -24.5529057789943 0 NA NA 26.667 0
1 -41.1287798050021 -25.3005451440058 -15.8282346609963 0 NA NA 26.667 0
1 -47.1493406533782 -25.8251951135826 -21.3241455397956 0 NA NA 26.667 0
1 -31.4224818598873 -4.51083405962117 -26.9116478002661 0 NA NA 26.667 0
1 -48.2445706899191 -22.607612793716 -25.6369578962031 0 NA NA 26.667 0
1 -42.2026152110993 -15.5751549337731 -26.6274602773262 0 NA NA 26.667 0
1 -42.980151750359 -26.3971230019285 -16.5830287484305 0 NA NA 26.667 0
1 -46.9557020749337 -23.4823051794283 -23.4733968955054 0 NA NA 26.667 0
1 -43.2195753722319 -16.9540934037384 -26.2654819684935 0 NA NA 26.667 0
1 -48.4691525682347 -26.4764026149678 -21.9927499532669 0 NA NA 26.667 0
1 -39.8456336143854 -13.3490137948452 -26.4966198195402 0 NA NA 26.667 0
1 -38.2788575453835 -12.6162630089093 -25.6625945364742 0 NA NA 26.667 0
1 -37.9389359769982 -9.91916158277445 -28.0197743942238 0 NA NA 26.667 0
1 -40.2665059226406 -14.4539529246751 -25.8125529979654 0 NA NA 26.667 0
1 -43.5200851141753 -17.3213057369678 -26.1987793772075 0 NA NA 26.667 0
1 -48.3909068737685 -26.27924816674 -22.1116587070285 0 NA NA 26.667 0
1 -47.3442175479345 -25.0470388209767 -22.2971787269578 0 NA NA 26.667 0
1 -47.1572632224124 -25.2042496307613 -21.9530135916511 0 NA NA 26.667 0
1 -38.6220079831587 -14.4762004831593 -24.1458074999994 0 NA NA 26.667 0
1 -43.1707022405874 -15.7834223359798 -27.3872799046076 0 NA NA 26.667 0
1 -50.252266964166 -26.5032587926141 -23.7490081715518 0 NA NA 26.667 0
1 -29.1922624491954 -7.2771832538192 -21.9150791953762 0 NA NA 26.667 0
1 -47.1474582366775 -25.5395953021664 -21.6078629345111 0 NA NA 26.667 0
1 -41.8181947848072 -16.4891571832693 -25.3290376015379 0 NA NA 30 0
1 -43.5124332699238 -26.4532245514113 -17.0592087185125 0 NA NA 30 0
1 -45.83484947445 -20.7672365645922 -25.0676129098579 0 NA NA 30 0
1 -45.4540272406512 -18.2468077690314 -27.2072194716197 0 NA NA 30 0
1 -43.8704107901326 -26.4155165751718 -17.4548942149609 0 NA NA 30 0
1 -50.4941711233448 -26.2536544912098 -24.240516632135 0 NA NA 30 0
1 -48.5890869450402 -26.5345990935039 -22.0544878515364 0 NA NA 30 0
1 -42.4306136421285 -16.2316391211652 -26.1989745209632 0 NA NA 30 0
1 -37.2275710192439 -12.9901111481504 -24.2374598710935 0 NA NA 30 0
1 -44.2990398549666 -26.4278589519693 -17.8711809029974 0 NA NA 30 0
1 -42.4447344196076 -17.0072668857113 -25.4374675338963 0 NA NA 30 0
1 -44.8459268884274 -26.3441661125255 -18.5017607759019 0 NA NA 30 0
1 -30.3206223353782 -15.0450803394599 -15.2755419959183 0 NA NA 30 0
1 -47.1549970097494 -24.0963563011087 -23.0586407086407 0 NA NA 30 0
1 -47.5060841048942 -26.5057454645785 -21.0003386403157 0 NA NA 30 0
1 -47.5258447035937 -24.6297418674153 -22.8961028361784 0 NA NA 30 0
1 -49.0702529371702 -25.8508946055356 -23.2193583316346 0 NA NA 30 0
1 -39.2163023679095 -14.3146253753928 -24.9016769925167 0 NA NA 30 0
1 -44.2579311229485 -25.6624346564595 -18.5954964664891 0 NA NA 30 0
1 -50.1753629633138 -26.6203726456658 -23.5549903176479 0 NA NA 30 0
1 -39.105213707338 -26.1723829181838 -12.9328307891542 0 NA NA 30 0
1 -45.6290268802352 -26.5054679365558 -19.1235589436794 0 NA NA 30 0
1 -42.729991161591 -25.5878190235399 -17.1421721380511 0 NA NA 30 0
1 -49.7310830397159 -26.5153808009291 -23.2157022387869 0 NA NA 30 0
1 -50.9126964038915 -26.3630578706109 -24.5496385332806 0 NA NA 30 0
1 -37.2789333137268 -26.3758902986692 -10.9030430150576 0 NA NA 30 0
1 -43.618112539526 -17.7786378988283 -25.8394746406977 0 NA NA 30 0
1 -35.7252352519315 -26.2800434085134 -9.44519184341812 0 NA NA 30 0
1 -44.5552947373717 -26.4326040627702 -18.1226906746015 0 NA NA 30 0
1 -43.4648127429787 -18.2429500699513 -25.2218626730273 0 NA NA 30 0
1 -45.0783379751381 -26.2754993746528 -18.8028386004853 0 NA NA 33.333 0
1 -44.3215038874193 -26.3120665710285 -18.0094373163909 0 NA NA 33.333 0
1 -51.0100803417804 -26.4770359358267 -24.5330444059537 0 NA NA 33.333 0
1 -51.3734609762648 -25.5593333119734 -25.8141276642914 0 NA NA 33.333 0
1 -46.1030557448632 -21.969777645952 -24.1332780989112 0 NA NA 33.333 0
1 -38.0238121561695 -15.9896397995819 -22.0341723565875 0 NA NA 33.333 0
1 -43.5577340490447 -25.9913228475721 -17.5664112014726 0 NA NA 33.333 0
1 -48.0103086114427 -23.902702998123 -24.1076056133197 0 NA NA 33.333 0
1 -34.700947104225 -7.9262241260999 -26.7747229781251 0 NA NA 33.333 0
1 -41.8231837931205 -15.3240396333854 -26.4991441597351 0 NA NA 33.333 0
1 -32.9929231431258 -7.6893164981509 -25.3036066449749 0 NA NA 33.333 0
1 -48.4541079945213 -26.4477432609056 -22.0063647336158 0 NA NA 33.333 0
1 -42.0829548596464 -25.8527306756457 -16.2302241840007 0 NA NA 33.333 0
1 -36.9484659937943 -11.6179354206404 -25.330530573154 0 NA NA 33.333 0
1 -46.3761969862633 -20.6013156414861 -25.7748813447772 0 NA NA 33.333 0
1 -41.6258711906853 -17.2200483920039 -24.4058227986814 0 NA NA 33.333 0
1 -43.375765137399 -26.2397833738369 -17.1359817635621 0 NA NA 33.333 0
1 -50.1370622965412 -26.231889959055 -23.9051723374862 0 NA NA 33.333 0
1 -33.802204740208 -7.95915893322854 -25.8430458069795 0 NA NA 33.333 0
1 -50.1185355407101 -24.5289452813067 -25.5895902594034 0 NA NA 33.333 0
1 -32.4230079571391 -5.88569936715498 -26.5373085899841 0 NA NA 33.333 0
1 -34.3187726114384 -26.3206527942891 -7.99811981714925 0 NA NA 33.333 0
1 -34.2216477476704 -16.8674579326296 -17.3541898150409 0 NA NA 33.333 0
1 -48.6445020774138 -25.1499063241804 -23.4945957532334 0 NA NA 33.333 0
1 -45.8335736741653 -23.4450270326888 -22.3885466414765 0 NA NA 33.333 0
1 -47.6890674683928 -26.4453188076077 -21.2437486607851 0 NA NA 33.333 0
1 -39.8252198516013 -13.1393831867924 -26.6858366648089 0 NA NA 33.333 0
1 -32.8521207885142 -26.3484515094704 -6.50366927904383 0 NA NA 33.333 0
1 -37.2822998179099 -13.10862580823 -24.1736740096799 0 NA NA 33.333 0
1 -45.4450144630816 -26.1531831456646 -19.2918313174171 0 NA NA 33.333 0
1 -48.2597917500225 -25.4453824190939 -22.8144093309286 0 NA NA 36.667 0
1 -39.5682475481487 -14.1906792726252 -25.3775682755236 0 NA NA 36.667 0
1 -48.7673239459555 -25.965367577902 -22.8019563680534 0 NA NA 36.667 0
1 -39.5431959525765 -22.137000819027 -17.4061951335495 0 NA NA 36.667 0
1 -36.7889124272842 -10.0738342856341 -26.7150781416501 0 NA NA 36.667 0
1 -46.0425778742351 -26.4865280218846 -19.5560498523505 0 NA NA 36.667 0
