lact	mact	tissue	group	speed	pexp	phalf	pintmean	pintmedian
 300 100 deformable 2 0.10017115 360.8960 105.0278 NA NA
 300 100 deformable 3 0.08279767 383.2647 155.1057 NA NA
 300 100 deformable 4 0.08908330 368.8368 133.6198 NA NA
 500 100 deformable 1 0.10999383 413.1533 107.35273 NA NA
 500 100 deformable 2 0.11324683 350.9610  96.01613 NA NA
 500 100 deformable 3 0.09824612 436.9919 131.94031 NA NA
 500 100 deformable 4 0.10561903 412.2395 116.48167 NA NA
 750 100 deformable 1 0.1201661 433.2861  97.86562 NA NA
 750 100 deformable 2 0.1235921 412.5101  87.35169 NA NA
 750 100 deformable 3 0.1133602 431.9978 123.46265 NA NA
 750 100 deformable 4 0.1151018 421.2594 106.22887 NA NA
 1000 100 deformable 1 0.1254752 338.9115  41.69450 NA NA
 1000 100 deformable 2 0.1288360 350.3321  65.76827 NA NA
 1000 100 deformable 3 0.1213646 591.9447 116.68321 NA NA
 1000 100 deformable 4 0.1233802 452.2371  99.75283 NA NA
