lact	mact	group	speed	pexp	phalf	pintmean	pintmedian
 40 30 1 0.01896787 27.32162 24.42854 NA NA
 40 30 2 0.01887949 27.25399 24.22754 NA NA
 40 30 3 0.01883349 26.23398 23.80759 NA NA
 40 30 4 0.01869363 26.15374 23.64449 NA NA
 40 30 5 0.01898486 27.16392 24.29859 NA NA
 40 30 6 0.01888118 27.38703 24.28362 NA NA
 45 30 1 0.03019857 48.89171 44.06719 NA NA
 45 30 2 0.03069514 53.57575 46.38778 NA NA
 45 30 3 0.03034404 49.98874 44.49959 NA NA
 45 30 4 0.03011133 50.44560 44.56501 NA NA
 45 30 5 0.03023686 52.73500 45.79083 NA NA
 45 30 6 0.02970694 48.93282 43.84178 NA NA
 47 30 1 0.04655403 152.3513 90.82605 NA NA
 47 30 2 0.04185668 111.8146 72.86145 NA NA
 47 30 3 0.04149952 102.2020 70.51660 NA NA
 47 30 4 0.04458755 124.4334 81.08007 NA NA
 47 30 5 0.04564913 125.0461 82.32085 NA NA
 47 30 6 0.04444351 123.3884 81.06822 NA NA
 48 30 1 0.06253574 294.1789 162.0413 NA NA
 48 30 2 0.06114760 275.3127 155.2887 NA NA
 48 30 3 0.05991629 268.9130 146.4349 NA NA
 48 30 4 0.06235185 270.1058 149.0047 NA NA
 48 30 5 0.05876960 246.5605 136.4729 NA NA
 48 30 6 0.06245887 248.8724 137.9787 NA NA
 49 30 1 0.08890585 589.5519 339.0376 NA NA
 49 30 2 0.08038870 525.4953 282.9735 NA NA
 49 30 3 0.08701425 533.4295 314.4613 NA NA
 49 30 4 0.08706613 491.2648 289.9665 NA NA
 49 30 5 0.08513873 450.4636 284.2841 NA NA
 49 30 6 0.09400288 675.9013 380.2680 NA NA
 50 30 1 0.1243151 823.7129 531.7412 NA NA
 50 30 2 0.1138008 786.5444 480.5056 NA NA
 50 30 3 0.1235955 839.6689 524.4952 NA NA
 50 30 4 0.1180775 949.3790 581.0124 NA NA
 50 30 5 0.1283994 881.9991 558.5323 NA NA
 50 30 6 0.1266369 884.0022 564.8467 NA NA
 52 30 1 0.1509540 1551.388 898.0804 NA NA
 52 30 2 0.1496717 1751.024 998.7478 NA NA
 52 30 3 0.1522547 1588.449 928.5601 NA NA
 52 30 4 0.1514988 1394.695 849.8601 NA NA
 52 30 5 0.1445965 1179.636 772.8199 NA NA
 52 30 6 0.1499629 1321.489 852.8598 NA NA
 55 30 1 0.1633766 2306.738 1428.718 NA NA
 55 30 2 0.1642554 1913.093 1276.047 NA NA
 55 30 3 0.1637072 2549.673 1569.625 NA NA
 55 30 4 0.1639006 2375.512 1388.212 NA NA
 55 30 5 0.1651918 2216.293 1368.811 NA NA
 55 30 6 0.1667194 2837.465 1574.454 NA NA
 60 30 1 0.1687867 3206.035 2151.228 NA NA
 60 30 2 0.1676066 3607.120 2055.788 NA NA
 60 30 3 0.1682164 3297.692 1875.046 NA NA
 60 30 4 0.1670318 3344.973 2056.160 NA NA
 60 30 5 0.1673692 3536.733 1939.959 NA NA
 60 30 6 0.1679551 3572.736 2129.674 NA NA
 30 40 1 0.01264474 7.290310 10.94349 NA NA
 30 40 2 0.01265839 7.093882 10.92897 NA NA
 30 40 3 0.01269375 7.097426 10.90109 NA NA
 30 40 4 0.01272647 7.605904 11.01811 NA NA
 30 40 5 0.01265894 7.273186 10.96058 NA NA
 30 40 6 0.01270534 7.691019 11.06692 NA NA
 35 40 1 0.01970739 50.16652 39.49207 NA NA
 35 40 2 0.01953135 52.32014 39.71584 NA NA
 35 40 3 0.01982945 51.72059 40.45243 NA NA
 35 40 4 0.01966029 52.64764 40.50013 NA NA
 35 40 5 0.01991271 51.91435 40.80655 NA NA
 35 40 6 0.01969160 52.00297 39.95898 NA NA
 37 40 1 0.02757172 76.98702 60.86286 NA NA
 37 40 2 0.02730511 74.72273 60.02232 NA NA
 37 40 3 0.02722259 72.07614 58.99710 NA NA
 37 40 4 0.02742826 80.96550 62.63174 NA NA
 37 40 5 0.02725553 75.29117 60.11253 NA NA
 37 40 6 0.02700032 75.70352 60.91458 NA NA
 38 40 1 0.03642387 141.5416 93.67913 NA NA
 38 40 2 0.03414613 120.9780 83.24715 NA NA
 38 40 3 0.03579362 135.6944 90.16938 NA NA
 38 40 4 0.03479052 128.7111 87.77020 NA NA
 38 40 5 0.03511166 114.7180 83.77544 NA NA
 38 40 6 0.03663975 132.6037 90.59107 NA NA
 39 40 1 0.06697153 608.9963 352.5394 NA NA
 39 40 2 0.07011170 717.2847 424.7676 NA NA
 39 40 3 0.06737584 555.9519 324.8734 NA NA
 39 40 4 0.06557886 611.1492 330.5722 NA NA
 39 40 5 0.05624076 481.5406 246.1134 NA NA
 39 40 6 0.06759098 688.4166 367.8354 NA NA
 40 40 1 0.1171325 1911.689 1171.1689 NA NA
 40 40 2 0.1148071 1864.909 1199.3372 NA NA
 40 40 3 0.1120725 1336.383  892.1457 NA NA
 40 40 4 0.1162338 2363.186 1318.2610 NA NA
 40 40 5 0.1138586 1712.879 1071.4982 NA NA
 40 40 6 0.1153272 2032.325 1220.0842 NA NA
 42 40 1 0.1356369 4125.026 2536.244 NA NA
 42 40 2 0.1372884 3410.290 2368.019 NA NA
 42 40 3 0.1371847 4456.841 2633.551 NA NA
 42 40 4 0.1360897 3985.183 2335.684 NA NA
 42 40 5 0.1374817 4937.431 2957.303 NA NA
 42 40 6 0.1339998 3932.483 2483.658 NA NA
 45 40 1 0.1412612 9998.031 5818.852 NA NA
 45 40 2 0.1412263 7170.234 4569.721 NA NA
 45 40 3 0.1412187 8557.341 5582.504 NA NA
 45 40 4 0.1411857 5408.687 3655.133 NA NA
 45 40 5 0.1410763 9534.975 5846.159 NA NA
 45 40 6 0.1413701 6617.431 4416.076 NA NA
 50 40 1 0.1417107 13956.494  8721.707 NA NA
 50 40 2 0.1414647 11263.841  7497.311 NA NA
 50 40 3 0.1416703 18782.863 12995.313 NA NA
 50 40 4 0.1417585 16277.565 11065.467 NA NA
 50 40 5 0.1413840  9571.526  7128.188 NA NA
 50 40 6 0.1417073 10929.928  7062.962 NA NA
 25 50 1 0.01174200 3.615984 9.350125 NA NA
 25 50 2 0.01170168       NA 9.164673 NA NA
 25 50 3 0.01171560 3.673022 9.391333 NA NA
 25 50 4 0.01173776 3.504907 9.287322 NA NA
 25 50 5 0.01174861 3.552793 9.308899 NA NA
 25 50 6 0.01179043 3.757755 9.447544 NA NA
 30 50 1 0.01741707 67.90660 41.26260 NA NA
 30 50 2 0.01746477 68.41723 41.52918 NA NA
 30 50 3 0.01747236 70.51413 42.43981 NA NA
 30 50 4 0.01775493 70.06979 43.65934 NA NA
 30 50 5 0.01780603 70.85564 43.78291 NA NA
 30 50 6 0.01773303 70.22323 43.35490 NA NA
