lact	mact	group	speed	pexp	phalf	pintmean	pintmedian
 50 50 5 0.04518529 81.46840 32.62510 NA NA
 50 50 6 0.04472247 80.40816 29.43016 NA NA
 75 50 1 0.06049509 129.0034 89.78712 NA NA
 75 50 2 0.05991239 129.7661 89.03823 NA NA
 75 50 3 0.06121145 125.5817 90.53374 NA NA
 75 50 4 0.06069111 125.7603 89.19862 NA NA
 75 50 5 0.06123998 128.4139 91.30241 NA NA
 75 50 6 0.06096571 127.4161 89.51493 NA NA
 100 50 1 0.07681311 171.5830 124.5917 NA NA
 100 50 2 0.07808209 187.3527 132.4779 NA NA
 100 50 3 0.07654967 183.8031 128.6334 NA NA
 100 50 4 0.07679806 192.9445 134.7341 NA NA
 100 50 5 0.07701018 181.5798 127.4043 NA NA
 100 50 6 0.07784189 183.7040 130.6197 NA NA
 125 50 1 0.09683369 305.3159 196.4284 NA NA
 125 50 2 0.09872404 346.9820 224.3491 NA NA
 125 50 3 0.09667470 321.5470 211.3821 NA NA
 125 50 4 0.09829582 332.3758 221.2876 NA NA
 125 50 5 0.09686371 328.4669 212.7232 NA NA
 125 50 6 0.09901784 341.7595 220.7177 NA NA
 150 50 1 0.1181110 762.2997 467.6799 NA NA
 150 50 2 0.1174501 740.3938 439.5440 NA NA
 150 50 3 0.1168672 734.7265 446.8793 NA NA
 150 50 4 0.1161825 704.5277 429.2077 NA NA
 150 50 5 0.1176242 828.6307 483.3083 NA NA
 150 50 6 0.1162639 768.8509 467.6225 NA NA
 200 50 1 0.1382654 2036.729 1254.080 NA NA
 200 50 2 0.1389791 2737.836 1404.404 NA NA
 200 50 3 0.1381504 2210.167 1249.342 NA NA
 200 50 4 0.1380894 2589.239 1331.864 NA NA
 200 50 5 0.1381579 2019.368 1081.883 NA NA
 200 50 6 0.1386226 2601.126 1412.398 NA NA
 300 50 1 0.1502418 2466.946 1459.061 NA NA
 300 50 2 0.1514174 3179.080 1652.783 NA NA
 300 50 3 0.1510212 3079.539 1755.775 NA NA
 300 50 4 0.1507870 2777.044 1476.446 NA NA
 300 50 5 0.1509517 2711.316 1614.619 NA NA
 300 50 6 0.1507580 2810.191 1725.162 NA NA
 500 50 1 0.1651513 3623.978 2235.699 NA NA
 500 50 2 0.1653195 3514.872 1800.629 NA NA
 500 50 3 0.1645724 4632.721 2271.919 NA NA
 500 50 4 0.1652991 3946.953 2020.763 NA NA
 500 50 5 0.1646258 2648.626 1441.773 NA NA
 500 50 6 0.1650171 4438.356 2642.807 NA NA
 40 60 1 0.04297527 86.42372 23.20251 NA NA
 40 60 2 0.04271834 83.61216 22.55169 NA NA
 40 60 3 0.04245063 81.97149 22.15038 NA NA
 40 60 4 0.04219286 79.89665 21.80428 NA NA
 40 60 5 0.04248567 81.67666 22.02004 NA NA
 40 60 6 0.04288999 87.19109 22.95775 NA NA
 60 60 1 0.05918783 164.7761 106.29676 NA NA
 60 60 2 0.05793415 158.5543  99.51135 NA NA
 60 60 3 0.05819442 159.1727 103.61795 NA NA
 60 60 4 0.05888317 165.0427 106.42896 NA NA
 60 60 5 0.05898955 164.4657 105.60490 NA NA
 60 60 6 0.05853462 165.4570 104.11712 NA NA
 80 60 1 0.07570830 313.4306 200.0730 NA NA
 80 60 2 0.07493029 298.8037 192.1714 NA NA
 80 60 3 0.07460880 306.4230 195.6081 NA NA
 80 60 4 0.07513799 305.9533 197.2623 NA NA
 80 60 5 0.07502076 295.1105 191.6824 NA NA
 80 60 6 0.07409454 288.1840 187.0967 NA NA
 100 60 1 0.09375772 678.8695 399.2222 NA NA
 100 60 2 0.09320286 663.7145 403.9569 NA NA
 100 60 3 0.09386184 673.0723 392.2129 NA NA
 100 60 4 0.09365965 703.7354 417.7956 NA NA
 100 60 5 0.09326722 650.6959 384.1126 NA NA
 100 60 6 0.09433212 629.8944 389.7284 NA NA
 120 60 1 0.1117673 1922.303 1055.9117 NA NA
 120 60 2 0.1115267 1674.574 1038.3201 NA NA
 120 60 3 0.1112957 1901.415 1099.9439 NA NA
 120 60 4 0.1109269 2032.154  978.0785 NA NA
 120 60 5 0.1105975 1853.226  987.4258 NA NA
 120 60 6 0.1113588 2325.183 1185.1535 NA NA
 150 60 1 0.1215570 5292.519 2591.564 NA NA
 150 60 2 0.1214968 4995.518 2380.684 NA NA
 150 60 3 0.1210699 4771.317 2590.368 NA NA
 150 60 4 0.1209157 3689.548 1835.866 NA NA
 150 60 5 0.1206496 4206.996 2238.656 NA NA
 150 60 6 0.1214163 4273.931 2325.613 NA NA
 250 60 1 0.1355887 5328.889 2795.183 NA NA
 250 60 2 0.1355779 5088.723 3143.720 NA NA
 250 60 3 0.1358393 5113.803 2341.628 NA NA
 250 60 4 0.1353739 3853.418 2366.726 NA NA
 250 60 5 0.1362172 4442.075 2576.206 NA NA
 250 60 6 0.1357071 4080.897 2304.719 NA NA
 30 80 1 0.03953555 87.22676 16.55320 NA NA
 30 80 2 0.03911918 83.27440 15.79100 NA NA
 30 80 3 0.03934152 88.37653 16.11009 NA NA
 30 80 4 0.03898772 80.65383 15.68827 NA NA
 30 80 5 0.03914438 83.98804 16.09221 NA NA
 30 80 6 0.03935211 88.24333 16.12632 NA NA
 40 80 1 0.05044622 184.2430 83.88272 NA NA
 40 80 2 0.05045458       NA 82.85286 NA NA
 40 80 3 0.05092936       NA 86.60343 NA NA
 40 80 4 0.05051307       NA 82.46091 NA NA
 40 80 5 0.05076741 187.8216 83.82359 NA NA
 40 80 6 0.05108836 172.0955 85.52996 NA NA
 50 80 1 0.06194073 337.1149 178.6932 NA NA
 50 80 2 0.06136385 342.1892 177.5224 NA NA
 50 80 3 0.06210772 385.9147 193.7024 NA NA
 50 80 4 0.06351719 367.6378 201.1336 NA NA
 50 80 5 0.06359686 359.0860 197.6507 NA NA
 50 80 6 0.06277245 332.9906 181.6037 NA NA
 60 80 1 0.07486802  944.1833 464.5543 NA NA
 60 80 2 0.07510693  942.6337 494.8609 NA NA
 60 80 3 0.07484274  840.7038 441.0200 NA NA
 60 80 4 0.07468519  969.0355 506.5398 NA NA
 60 80 5 0.07402151 1012.2665 494.1123 NA NA
 60 80 6 0.07530198  965.4641 488.6593 NA NA
 70 80 1 0.08503378 2952.830 1447.324 NA NA
 70 80 2 0.08371151 2272.823 1085.214 NA NA
 70 80 3 0.08454802 2214.405 1164.101 NA NA
 70 80 4 0.08304671 1945.750 1068.494 NA NA
 70 80 5 0.08328301 2050.219 1041.701 NA NA
 70 80 6 0.08401734 2570.841 1267.134 NA NA
 100 80 1 0.09779175       NA 3080.674 NA NA
 100 80 2 0.09855376 6319.487 3220.140 NA NA
 100 80 3 0.09864895 7088.993 3763.494 NA NA
 100 80 4 0.09875245 5172.480 2855.155 NA NA
 100 80 5 0.09828929       NA 4133.129 NA NA
 100 80 6 0.09935407 6400.378 3597.146 NA NA
 150 80 1 0.1077038 5894.078 2614.993 NA NA
 150 80 2 0.1067995 6758.925 3709.769 NA NA
 150 80 3 0.1074506 7742.256 3438.532 NA NA
 150 80 4 0.1068846 4782.221 2483.191 NA NA
 150 80 5 0.1074434 5367.283 2798.987 NA NA
 150 80 6 0.1075843 8126.403 3723.059 NA NA
 200 80 1 0.1132214 5038.368 2533.212 NA NA
 200 80 2 0.1133175 4515.496 2476.999 NA NA
 200 80 3 0.1136127 3601.873 2068.949 NA NA
 200 80 4 0.1140509 3845.337 2389.969 NA NA
 200 80 5 0.1144732 3537.096 2066.699 NA NA
 200 80 6 0.1137737 3589.175 1860.345 NA NA
 30 100 1 0.04322509 173.9561 23.04507 NA NA
 30 100 2 0.04325891 177.2898 23.10811 NA NA
 30 100 3 0.04344148 184.1740 23.20026 NA NA
 30 100 4 0.04361970 184.8884 23.53752 NA NA
 30 100 5 0.04334452 186.2634 22.76951 NA NA
 30 100 6 0.04349697 194.3507 23.58450 NA NA
 35 100 1 0.05106707 306.4066 102.57771 NA NA
 35 100 2 0.05077036 280.6191 103.84859 NA NA
 35 100 3 0.05041361 271.0079  99.98300 NA NA
 35 100 4 0.05052504 279.6871 100.65503 NA NA
 35 100 5 0.05066847 284.2691 100.09298 NA NA
 35 100 6 0.05003705 268.8426  96.61289 NA NA
 40 100 1 0.05898392       NA 200.3959 NA NA
