lact	mact	group	speed	pexp	phalf	pintmean	pintmedian
 100 30 1 0.06057636       NA 38.21643 68.79756 50
 100 30 2 0.06070891       NA 36.69581 67.52577 50
 100 30 3 0.06102001       NA 37.57110 69.51399 50
 100 30 4 0.06141592 78.87791 39.86481 72.55474 50
 100 30 5 0.06105515 80.62547 38.86804 70.10234 50
 100 30 6 0.06067544       NA 37.57903 68.17507 50
 200 30 1 0.1007899 165.7033  92.46114 117.7049 100
 200 30 2 0.1013693 193.9823 101.39499 119.1368 100
 200 30 3 0.1017345 178.0709 100.68604 121.6003 100
 200 30 4 0.1000206 170.4913  93.79712 116.8417 100
 200 30 5 0.1015232 198.4452 103.64048 122.3608 100
 200 30 6 0.1015901 171.5552  98.99042 120.4864 100
 600 30 1 0.1451397 184.7103 104.69215 174.0191 150
 600 30 2 0.1455219 182.2371 103.53223 175.1856 150
 600 30 3 0.1419891 162.2108  97.83478 170.5451 150
 600 30 4 0.1436435 161.0177 100.00478 172.2866 150
 600 30 5 0.1391462 141.7940  90.90467 165.5831 150
 600 30 6 0.1396300 144.7751  94.63052 167.1488 150
 800 30 1 0.1976436 393.8953 240.7874 296.8000 150
 800 30 2 0.2107103 549.0745 324.6564 328.8428 150
 800 30 3 0.1940117 367.8677 212.5846 286.3426 150
 800 30 4 0.1892224 332.4047 177.4478 274.0211 150
 800 30 5 0.1937384 369.8981 206.8469 286.7647 150
 800 30 6 0.1929745 389.1032 194.5489 283.6420 150
 1000 30 1 0.2840565 770.9811 526.4579 726.3934 250
 1000 30 2 0.2833604 724.1124 480.2664 719.2182 200
 1000 30 3 0.2866978 825.6616 594.4217 750.8475 200
 1000 30 4 0.2847034 970.1242 624.1062 753.7415 200
 1000 30 5 0.2815668 750.7252 501.0066 715.5844 250
 1000 30 6 0.2876184 733.3071 523.9662 805.3957 375
 1200 30 1 0.3510160 2362.638 1430.0387 2423.500 1400
 1200 30 2 0.3530478 3190.893 1700.1912 2547.895  950
 1200 30 3 0.3551916 1983.500 1367.0784 2318.269 1325
 1200 30 4 0.3518657 2390.487 1415.2634 2169.820  950
 1200 30 5 0.3491896 1451.382  993.6668 1992.149 1450
 1200 30 6 0.3531643 1668.110 1186.3827 2079.310 1025
 1400 30 1 0.3948827 5294.718 3186.715 4942.000 3100
 1400 30 2 0.3957695 3884.872 2803.996 6865.278 4325
 1400 30 3 0.3981417 7192.184 4931.003 9196.296 6650
 1400 30 4 0.3967479 8588.163 6244.939 7521.212 2450
 1400 30 5 0.3949411 3755.529 2654.804 5886.905 3725
 1400 30 6 0.3953708 3768.034 2841.675 6341.026 3450
 60 40 1 0.05186567 76.34964 29.29298 70.57927 50
 60 40 2 0.05128385 74.37704 28.88187 70.40498 50
 60 40 3 0.05153645 77.82298 28.52261 67.36527 50
 60 40 4 0.05106061 75.94708 27.82093 66.19938 50
 60 40 5 0.05158718 78.77415 29.35501 66.52047 50
 60 40 6 0.05088342 67.45497 26.28394 63.38710 50
 80 40 1 0.07130787 234.5917 112.75855 119.4904 100
 80 40 2 0.07015092 218.6556 100.12387 116.9553 100
 80 40 3 0.06948033 212.6806  99.93627 112.0592  50
 80 40 4 0.07114295 242.1982 106.70914 121.7967 100
 80 40 5 0.06924531 226.4748 103.24995 120.0893 100
 80 40 6 0.06854150 231.0832  99.00960 113.1159 100
 100 40 1 0.09481920 579.4690 318.5171 223.8671 150
 100 40 2 0.09370789 580.3707 315.8437 209.0511 100
 100 40 3 0.09616532 626.2534 360.1087 222.4852 100
 100 40 4 0.09298074 517.5890 298.1541 218.7117 100
 100 40 5 0.09475072 583.5182 299.0647 222.4474 150
 100 40 6 0.09477427 541.4769 301.6899 219.4153 150
 200 40 1 0.1606251 1329.025 790.5022 412.6775 150
 200 40 2 0.1647161 1335.277 847.1500 457.3465 150
 200 40 3 0.1556584 1357.194 731.8191 371.1786 150
 200 40 4 0.1647881 1074.334 671.6216 450.9740 150
 200 40 5 0.1598428 1195.689 750.4377 409.5000 150
 200 40 6 0.1606779 1081.610 690.8755 423.1481 150
 400 40 1 0.2302974 2035.196 1434.354 696.3950 150
 400 40 2 0.2184123 3000.808 1744.636 555.9278 150
 400 40 3 0.2202481 3014.385 1722.727 568.4211 150
 400 40 4 0.2433546 3323.906 2197.932 942.3868 150
 400 40 5 0.2259163 2941.602 1986.643 634.2486 150
 400 40 6 0.2278099 4417.345 2326.980 655.9524 150
 600 40 1 0.3010996       NA 3032.651 2218.981 200
 600 40 2 0.3025751 4501.156 3556.764 2289.048 200
 600 40 3 0.3015858 6585.740 4830.117 2122.124 200
 600 40 4 0.3043412 5247.470 3757.766 2540.526 200
 600 40 5 0.3038578 8985.902 5526.598 2314.423 150
 600 40 6 0.2938051 4220.973 2802.678 1499.045 150
 50 50 1 0.05287890 132.4892 45.06964 71.61017 50
 50 50 2 0.05325634 126.5446 44.40972 73.85445 50
 50 50 3 0.05283635 135.4221 45.08548 72.77778 50
 50 50 4 0.05346475 125.1882 46.71664 72.52604 50
 50 50 5 0.05352526 138.1523 46.36933 70.10444 50
 50 50 6 0.05348298 147.2045 46.17526 73.49869 50
 60 50 1 0.06814489 403.6404 158.5016 120.3148 100
 60 50 2 0.06735025 345.3255 153.9221 124.6423 100
 60 50 3 0.06734516       NA 155.7200 125.4762 100
 60 50 4 0.06874851 343.9819 158.3947 127.2382 100
 60 50 5 0.06774310 301.2515 139.1847 119.0440 100
 60 50 6 0.06785049 349.9215 152.3485 121.7729 100
 70 50 1 0.08562734  927.7060 469.1562 241.1223 200
 70 50 2 0.08389565 1053.4524 454.3069 228.5362 150
 70 50 3 0.08577387 1035.0024 487.8570 252.0070 150
 70 50 4 0.08629435  882.7153 444.0212 234.7581 150
 70 50 5 0.08679742  814.2789 457.5277 249.6656 150
 70 50 6 0.08705512  891.1471 470.0182 242.7760 150
 80 50 1 0.1057381 2688.500 1392.962 528.1915 300
 80 50 2 0.1048402 2309.721 1353.573 523.4667 350
 80 50 3 0.1065859 2878.105 1765.575 547.0109 350
 80 50 4 0.1050573 2193.550 1356.395 527.3333 350
 80 50 5 0.1046491 2374.807 1249.060 512.6316 350
 80 50 6 0.1060113 2052.756 1365.256 537.3656 350
 90 50 1 0.1210591 4634.785 2338.651  949.7854 500
 90 50 2 0.1223903 4887.173 2600.160 1108.4158 800
 90 50 3 0.1217815 4674.658 2665.332 1106.1576 600
 90 50 4 0.1216347 4079.506 2348.596 1142.6020 800
 90 50 5 0.1243707 8203.746 3722.663 1386.4458 950
 90 50 6 0.1207714 4929.442 2748.698  905.9426 525
 95 50 1 0.1293014  4493.706 2976.716 1405.152  900
 95 50 2 0.1302755  7994.407 5341.114 1532.781  850
 95 50 3 0.1299818 13978.586 8547.055 1500.325  800
 95 50 4 0.1310013  7611.842 5226.994 1824.031 1000
 95 50 5 0.1309138  9353.191 6265.726 1640.141 1200
 95 50 6 0.1310758 10226.315 5291.635 1889.113 1150
 100 50 1 0.1366766 13132.46  9012.715 1878.571 1300
 100 50 2 0.1381589 10960.52  6970.706 2262.264 1225
 100 50 3 0.1378121       NA  8526.400 2245.755 1525
 100 50 4 0.1388882 10224.57  6193.708 2450.000 1400
 100 50 5 0.1367336       NA 14509.039 1890.800  900
 100 50 6 0.1381723  7175.26  5380.944 2170.909 1250
 40 60 1 0.04968756 131.9612 27.61236 58.15451 50
 40 60 2 0.04985231 143.1587 28.05400 62.67606 50
 40 60 3 0.04920272 139.8703 26.38039 61.38614 50
 40 60 4 0.04875172 128.9370 25.82611 57.98969 50
 40 60 5 0.04911878 132.7746 26.38688 60.98655 50
 40 60 6 0.04924691 148.1738 27.05921 58.99123 50
 45 60 1 0.05773996 276.4234 89.82756 72.54335 50
 45 60 2 0.05747893 253.2343 88.93997 69.98012 50
 45 60 3 0.05664955 262.8739 83.00868 73.73068 50
 45 60 4 0.05713402 285.2676 86.88916 72.39583 50
 45 60 5 0.05767595 290.4713 90.16076 72.63581 50
 45 60 6 0.05677650 244.5918 78.56807 71.22153 50
 50 60 1 0.06754385 602.1186 225.2477 98.76141 50
 50 60 2 0.06662877 570.8722 214.0984 95.96026 50
 50 60 3 0.06668571       NA 202.3975 96.43338 50
 50 60 4 0.06663837 564.5628 201.6246 97.15278 50
 50 60 5 0.06561161       NA 183.5471 92.71978 50
 50 60 6 0.06701970 628.8259 227.1019 94.32855 50
 55 60 1 0.07799303 1037.390 443.5541 150.2457 100
 55 60 2 0.07687924 1182.426 522.6146 141.3625 100
 55 60 3 0.07860125 1128.017 485.0916 145.1651 100
 55 60 4 0.07829023 1204.746 518.6308 136.9809 100
 55 60 5 0.07807689 1098.573 485.4074 145.4276 100
 55 60 6 0.07812369 1207.472 551.8245 141.8213 100
 60 60 1 0.08866952 1570.462  924.8325 240.7670 150
 60 60 2 0.08873410 2192.878 1155.3381 231.5534 150
 60 60 3 0.08788761 3093.970 1019.3302 244.3284 200
 60 60 4 0.08916472 2705.579 1197.7908 247.3071 150
 60 60 5 0.08914325 1981.081 1069.5461 231.9918 150
 60 60 6 0.08830036 2217.485 1000.0845 226.8226 150
 65 60 1 0.09742356 6948.063 3129.229 372.0227 250
 65 60 2 0.09894359 4986.304 2433.748 420.0000 300
 65 60 3 0.09811385 3595.636 1961.607 384.7490 250
 65 60 4 0.09886697 5639.164 2303.256 415.0515 300
 65 60 5 0.09829825 3723.984 2261.962 392.6758 300
 65 60 6 0.09837053 6962.051 4464.210 409.3238 300
 70 60 1 0.1064801 9543.383 4256.542 687.1118 450
 70 60 2 0.1070062       NA 4320.978 697.3186 400
 70 60 3 0.1070061 7612.045 4912.463 814.7810 550
 70 60 4 0.1065671 6224.153 3627.381 673.9264 450
 70 60 5 0.1063395 4100.290 2484.233 710.0962 500
 70 60 6 0.1070013 7038.162 4089.366 728.6885 500
 25 80 1 0.04003152 58.45509 13.68047 50 50
 25 80 2 0.03996418 62.15258 13.33405 50 50
 25 80 3 0.03954165 53.85872 13.05952 50 50
 25 80 4 0.03965439 53.48628 13.20287 50 50
 25 80 5 0.04001944 55.54844 13.33854 50 50
 25 80 6 0.03989737 54.20883 13.29948 50 50
 30 80 1 0.04479274 150.0960 18.99880 50.00000 50
 30 80 2 0.04511277 138.2070 19.15524 50.00000 50
 30 80 3 0.04482570 165.8567 19.35652 51.04167 50
 30 80 4 0.04488622 144.1961 19.17901 52.58621 50
 30 80 5 0.04435885 146.6157 18.98239 50.00000 50
 30 80 6 0.04442799 139.6212 18.56908 51.00000 50
 35 80 1 0.05317981 427.1544 76.60825 57.69231 50
 35 80 2 0.05309887 378.8094 73.35302 56.77966 50
 35 80 3 0.05329289 418.5008 79.42185 56.85484 50
 35 80 4 0.05307756 383.9624 72.36372 55.85774 50
 35 80 5 0.05306670 394.9633 75.07504 54.94297 50
 35 80 6 0.05276446 388.6086 74.84119 54.91803 50
 38 80 1 0.06016552 682.3936 201.2740 62.69084 50
 38 80 2 0.06008153 652.8307 190.5761 61.04536 50
 38 80 3 0.06016043 674.3422 212.8360 61.50097 50
 38 80 4 0.05971328 670.8941 181.5030 62.77890 50
 38 80 5 0.05999858 831.1259 228.0807 60.13645 50
 38 80 6 0.06021917 746.3146 219.0250 61.92308 50
 40 80 1 0.06426725  945.0739 318.6193 67.43849 50
 40 80 2 0.06471478 1038.4368 358.3544 70.04342 50
 40 80 3 0.06435392 1070.8689 368.8024 69.97106 50
 40 80 4 0.06516551 1193.8092 420.8236 65.87983 50
 40 80 5 0.06529027 1195.4314 423.9259 69.22554 50
 40 80 6 0.06451945  848.5290 319.1738 68.45404 50
 42 80 1 0.06939226 1770.158 613.7733 78.81166 50
 42 80 2 0.06909291 1338.144 522.5801 76.61470 50
 42 80 3 0.06929639 1853.467 659.3712 76.92308 50
 42 80 4 0.06975495 1647.529 611.3980 77.35426 50
 42 80 5 0.06927860 1574.680 605.5944 77.58427 50
 42 80 6 0.06872329 1476.184 594.7592 78.39806 50
 45 80 1 0.07560508 3625.020 1224.4991 94.71662 50
 45 80 2 0.07526243 2245.048  907.7679 92.93120 50
 45 80 3 0.07576589 2458.130 1185.3794 94.66478 50
 45 80 4 0.07554012 2888.017 1231.1056 89.98162 50
 45 80 5 0.07608819 2483.439 1232.7942 94.21676 50
 45 80 6 0.07604226 3002.640 1367.8582 98.37786 50
 30 100 1 0.05083472 498.8717 49.19452 53.84615 50
 30 100 2 0.05100997 664.0983 58.58190 53.74150 50
 30 100 3 0.05119372 570.6253 55.50158 52.21239 50
 30 100 4 0.05066252 504.0576 37.81934 52.04918 50
 30 100 5 0.05078422 567.9308 59.39225 52.11864 50
 30 100 6 0.05106251 568.9182 61.12182 50.92593 50
 32 100 1 0.05500446 1044.9636 178.9815 54.18605 50
 32 100 2 0.05486622  904.4718 152.0645 53.67965 50
 32 100 3 0.05438204  822.0649 143.3615 55.00000 50
 32 100 4 0.05475019  797.9338 144.6428 54.00000 50
 32 100 5 0.05514569  849.1438 151.3731 54.50237 50
 32 100 6 0.05458050  856.6743 143.0692 53.43137 50
 34 100 1 0.05941636 1486.406 389.8916 57.78894 50
 34 100 2 0.05911855 1271.802 309.9446 58.98438 50
 34 100 3 0.05990098 1785.488 518.4621 57.00713 50
 34 100 4 0.05979435 1819.213 469.9480 58.29268 50
 34 100 5 0.05913386 1028.192 271.4222 57.95148 50
 34 100 6 0.05981118 1145.416 336.8575 57.61671 50
 36 100 1 0.06415740 3319.450 795.0252 60.42735 50
 36 100 2 0.06374829 2077.088 629.4165 60.89527 50
 36 100 3 0.06411679 3795.115 991.2650 62.05986 50
 36 100 4 0.06391122 2039.707 634.9465 61.55779 50
 36 100 5 0.06405036 2039.999 667.9022 62.25962 50
 36 100 6 0.06423725 2912.296 864.4556 61.90865 50
 38 100 1 0.06808838       NA 1443.734 68.28645 50
 38 100 2 0.06888034 3831.616 1436.045 67.02381 50
 38 100 3 0.06867392 5864.906 1413.716 67.82238 50
 38 100 4 0.06844322       NA 1401.077 69.53518 50
 38 100 5 0.06856557 4321.795 1390.060 66.48418 50
 38 100 6 0.06856018 7230.157 2442.549 67.70833 50
 40 100 1 0.07314751 8239.209 2931.638 76.51367 50
 40 100 2 0.07275579 7730.439 2463.424 77.30461 50
 40 100 3 0.07242357       NA 2254.806 77.04082 50
 40 100 4 0.07226099 7007.643 2530.468 72.89812 50
 40 100 5 0.07260099       NA 2090.137 74.82341 50
 40 100 6 0.07247479 6226.679 2291.268 74.97487 50
